iter	Passed	Remaining
0	0	78
1	1	91
2	2	85
3	3	80
4	4	83
5	5	84
6	6	87
7	7	85
8	8	83
9	9	82
10	10	82
11	11	81
12	12	82
13	13	82
14	14	81
15	15	79
16	16	79
17	17	78
18	18	78
19	19	77
20	20	76
21	21	74
22	21	73
23	22	72
24	23	71
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	38	59
39	39	58
40	40	57
41	40	55
42	41	54
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
